Apologize <-- Apologize
Apologize <-- Engage_in_negotiation, Make_an_appeal_or_request
Apologize <-- Use_conventional_military_force, Accuse
Apologize <-- Accuse, Demand
Apologize <-- Make_pessimistic_comment, Demand_that_target_yields
Apologize <-- Demand, Express_intent_to_engage_in_material_cooperation
Apologize <-- Give_ultimatum, Make_an_appeal_or_request
Apologize <-- Threaten_with_military_force, Express_intent_to_meet_or_negotiate
Apologize <-- Threaten_non-force, Express_intent_to_meet_or_negotiate
Apologize <-- Demand_that_target_yields, Express_intent_to_engage_in_material_cooperation
Apologize <-- Provide_aid, Express_intent_to_engage_in_material_cooperation
Apologize <-- Arrest,_detain,_or_charge_with_legal_action, Express_intent_to_meet_or_negotiate
Apologize <-- Use_unconventional_violence, Investigate
Apologize <-- Host_a_visit, Engage_in_negotiation
Apologize <-- Make_a_visit, Engage_in_negotiation
Apologize <-- Physically_assault, Express_intent_to_engage_in_material_cooperation
Apologize <-- Physically_assault, Demand
Apologize <-- Accuse_of_crime,_corruption, Demand
