Engage_in_mass_killings(X0,X1,T3) <- Use_chemical,_biological,_or_radiological_weapons(X0,X1,T0)
Engage_in_mass_killings(X0,X1,T3) <- Threaten(X0,X1,T0), Use_conventional_military_force(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Accuse_of_war_crimes(X0,X1,T0), Use_conventional_military_force(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Coerce(X0,X1,T0), Use_conventional_military_force(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Demand_change_in_leadership(X0,X1,T0), Use_tactics_of_violent_repression(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Violate_ceasefire(X0,X1,T0), Use_conventional_military_force(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Engage_in_violent_protest_for_rights(X0,X1,T0), Use_tactics_of_violent_repression(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Use_unconventional_violence(X0,X1,T0), Threaten_with_military_force(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Demonstrate_military_or_police_power(X0,X1,T0), Use_tactics_of_violent_repression(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Carry_out_suicide_bombing(X0,X1,T0), Conduct_suicide,_car,_or_other_non-military_bombing(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Detonate_nuclear_weapons(X0,X1,T0)
Engage_in_mass_killings(X0,X1,T3) <- Occupy_territory(X0,X1,T0), Use_tactics_of_violent_repression(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Torture(X0,X1,T0), Kill_by_physical_assault(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Threaten_with_military_force(X0,X1,T0), Refuse_to_de-escalate_military_engagement(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Engage_in_mass_expulsion(X0,X1,T0), Kill_by_physical_assault(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Carry_out_car_bombing(X0,X1,T0), Carry_out_roadside_bombing(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Fight_with_artillery_and_tanks(X0,X1,T0), Fight_with_small_arms_and_light_weapons(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Impose_state_of_emergency_or_martial_law(X0,X1,T0), Use_tactics_of_violent_repression(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Use_conventional_military_force(X0,X1,T0), Mobilize_or_increase_armed_forces(X0,X1,T1)
Engage_in_mass_killings(X0,X1,T3) <- Abduct,_hijack,_or_take_hostage(X0,X1,T0), Kill_by_physical_assault(X0,X1,T1)
