Appeal_to_others_to_meet_or_negotiate <-- Make_an_appeal_or_request
Appeal_to_others_to_meet_or_negotiate <-- Demand_change_in_leadership, Accede_to_demands_for_change_in_leadership
Appeal_to_others_to_meet_or_negotiate <-- Threaten_non-force, Yield
Appeal_to_others_to_meet_or_negotiate <-- Bring_lawsuit_against, Sign_formal_agreement
Appeal_to_others_to_meet_or_negotiate <-- Protest_violently,_riot, Complain_officially
Appeal_to_others_to_meet_or_negotiate <-- Demonstrate_or_rally, Engage_in_political_dissent
Appeal_to_others_to_meet_or_negotiate <-- Host_a_visit, Make_a_visit
Appeal_to_others_to_meet_or_negotiate <-- Kill_by_physical_assault, Apologize
Appeal_to_others_to_meet_or_negotiate <-- Abduct,_hijack,_or_take_hostage, Demand_release_of_persons_or_property
Appeal_to_others_to_meet_or_negotiate <-- Cooperate_militarily, Reject_military_cooperation
Appeal_to_others_to_meet_or_negotiate <-- Grant_diplomatic_recognition, Reduce_relations
Appeal_to_others_to_meet_or_negotiate <-- Threaten_with_military_force, Refuse_to_yield
Appeal_to_others_to_meet_or_negotiate <-- Impose_embargo,_boycott,_or_sanctions, Ease_economic_sanctions,_boycott,_embargo
Appeal_to_others_to_meet_or_negotiate <-- Mobilize_or_increase_armed_forces, Demobilize_armed_forces
Appeal_to_others_to_meet_or_negotiate <-- Use_conventional_military_force, Express_intent_to_meet_or_negotiate
Appeal_to_others_to_meet_or_negotiate <-- Declare_truce,_ceasefire, Violate_ceasefire
Appeal_to_others_to_meet_or_negotiate <-- Share_intelligence_or_information, Engage_in_judicial_cooperation
Appeal_to_others_to_meet_or_negotiate <-- Discuss_by_telephone, Consult
Appeal_to_others_to_meet_or_negotiate <-- Carry_out_suicide_bombing, Appeal_for_aid
Appeal_to_others_to_meet_or_negotiate <-- Demand_policy_change, Consider_policy_option
Appeal_to_others_to_meet_or_negotiate <-- Arrest,_detain,_or_charge_with_legal_action, Return,_release_person(s)
Appeal_to_others_to_meet_or_negotiate <-- Express_intent_to_meet_or_negotiate, Reject_proposal_to_meet,_discuss,_or_negotiate
Appeal_to_others_to_meet_or_negotiate <-- Mediate, Express_intent_to_accept_mediation
Appeal_to_others_to_meet_or_negotiate <-- Receive_deployment_of_peacekeepers, Expel_or_withdraw_peacekeepers
Appeal_to_others_to_meet_or_negotiate <-- Praise_or_endorse, Criticize_or_denounce
Appeal_to_others_to_meet_or_negotiate <-- Accuse_of_war_crimes, Deny_responsibility
Appeal_to_others_to_meet_or_negotiate <-- Conduct_hunger_strike, Ease_state_of_emergency_or_martial_law
Appeal_to_others_to_meet_or_negotiate <-- Seize_or_damage_property, Return,_release_property
Appeal_to_others_to_meet_or_negotiate <-- Engage_in_negotiation, Halt_negotiations
Appeal_to_others_to_meet_or_negotiate <-- Provide_humanitarian_aid, Reduce_or_stop_humanitarian_assistance
