_Demand_change_in_institutions,_regime(X0,X1,T1) <- Appeal_for_change_in_institutions,_regime(X0,X1,T0)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Express_intent_to_institute_political_reform(X0,X1,T0), Sign_formal_agreement(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Engage_in_mass_killings(X0,X1,T0), Demand_release_of_persons_or_property(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Protest_violently,_riot(X0,X1,T0), Accuse_of_human_rights_abuses(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Threaten_with_sanctions,_boycott,_embargo(X0,X1,T0), Demand_economic_cooperation(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Reject_proposal_to_meet,_discuss,_or_negotiate(X0,X1,T0), Demand_meeting,_negotiation(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Host_a_visit(X0,X1,T0), Meet_at_a_'third'_location(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X1,T1) <- Demand_change_in_institutions,_regime(X0,X1,T0)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Mobilize_or_increase_armed_forces(X0,X1,T0), Threaten_with_military_force(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), Demand_release_of_persons_or_property(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Demonstrate_for_leadership_change(X0,X1,T0), Consult(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Express_intent_to_change_institutions,_regime(X0,X1,T0), Engage_in_negotiation(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Ban_political_parties_or_politicians(X0,X1,T0), Demand_political_reform(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Impose_state_of_emergency_or_martial_law(X0,X1,T0), Demand_easing_of_administrative_sanctions(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Reduce_relations(X0,X1,T0), Demand_diplomatic_cooperation_(such_as_policy_support)(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Use_conventional_military_force(X0,X1,T0), fight_with_small_arms_and_light_weapons(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Carry_out_car_bombing(X0,X1,T0), Kill_by_physical_assault(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Conduct_strike_or_boycott(X0,X1,T0), Make_statement(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Defy_norms,_law(X0,X1,T0), Criticize_or_denounce(X1,X2,T1)
_Demand_change_in_institutions,_regime(X0,X2,T3) <- Mediate(X0,X1,T0), Express_intent_to_accept_mediation(X1,X2,T1)
