Declare_truce,_ceasefire(X0,X1,T1) <- Sign_formal_agreement(X0,X1,T0)
Declare_truce,_ceasefire(X0,X1,T1) <- Yield(X0,X1,T0)
Declare_truce,_ceasefire(X0,X1,T1) <- Express_accord(X0,X1,T0)
Declare_truce,_ceasefire(X0,X1,T1) <- Demobilize_armed_forces(X0,X1,T0)
Declare_truce,_ceasefire(X0,X1,T1) <- Return,_release_person(s)(X0,X1,T0)
Declare_truce,_ceasefire(X0,X1,T1) <- Apologize(X0,X1,T0)
Declare_truce,_ceasefire(X0,X1,T1) <- Grant_diplomatic_recognition(X0,X1,T0)
Declare_truce,_ceasefire(X0,X1,T1) <- Forgive(X0,X1,T0)
Declare_truce,_ceasefire(X0,X1,T1) <- Retreat_or_surrender_militarily(X0,X1,T0)
Declare_truce,_ceasefire(X0,X1,T1) <- fight_with_small_arms_and_light_weapons(X0,X1,T0)
Declare_truce,_ceasefire(X0,X1,T1) <- Declare_truce,_ceasefire(X0,X1,T0)
Declare_truce,_ceasefire(X0,X1,T2) <- Consult(X0,X1,T0), Express_intent_to_cooperate(X0,X1,T1)
Declare_truce,_ceasefire(X0,X1,T3) <- Engage_in_negotiation(X0,X1,T0), Sign_formal_agreement(X0,X1,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0), Consult(X0,X1,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Ease_economic_sanctions,_boycott,_embargo(X0,X1,T0), Express_intent_to_cooperate(X1,X0,T1), Consult(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Use_conventional_military_force(X0,X1,T0), Appeal_for_de-escalation_of_military_engagement(X1,X0,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Threaten_with_military_force(X0,X1,T0), Yield(X1,X0,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Protest_violently,_riot(X0,X1,T0), Make_statement(X0,X1,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Mobilize_or_increase_armed_forces(X0,X1,T0), Express_intent_to_cooperate(X1,X0,T1), Consult(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Make_a_visit(X0,X1,T0), Consult(X0,X1,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Provide_humanitarian_aid(X0,X1,T0), Engage_in_diplomatic_cooperation(X0,X1,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Ease_economic_sanctions,_boycott,_embargo(X0,X1,T1), Consult(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Express_intent_to_release_persons_or_property(X0,X1,T0), Return,_release_person(s)(X0,X1,T1), Consult(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Express_intent_to_yield(X0,X1,T0), Yield(X0,X1,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Discuss_by_telephone(X0,X1,T0), Express_intent_to_cooperate(X0,X1,T1), Consult(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Praise_or_endorse(X0,X1,T0), Express_intent_to_cooperate(X1,X0,T1), Consult(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Share_intelligence_or_information(X0,X1,T0), Engage_in_judicial_cooperation(X0,X1,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Receive_inspectors(X0,X1,T0), Express_intent_to_cooperate(X0,X1,T1), Consult(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Ease_administrative_sanctions(X0,X1,T0), Ease_economic_sanctions,_boycott,_embargo(X0,X1,T1), Consult(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Ease_curfew(X0,X1,T0), Ease_state_of_emergency_or_martial_law(X0,X1,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Host_a_visit(X0,X1,T0), Make_a_visit(X0,X1,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Meet_at_a_'third'_location(X0,X1,T0), Engage_in_negotiation(X0,X1,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Declare_truce,_ceasefire(X0,X1,T0), Express_intent_to_cooperate(X0,X1,T1), Consult(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Cooperate_militarily(X0,X1,T0), Cooperate_economically(X0,X1,T1), Express_intent_to_cooperate(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Make_statement(X0,X1,T0), Express_intent_to_cooperate(X0,X1,T1), Engage_in_negotiation(X0,X1,T2)
Declare_truce,_ceasefire(X0,X1,T3) <- Express_intent_to_cooperate(X0,X1,T0), Engage_in_negotiation(X1,X0,T1), Sign_formal_agreement(X0,X1,T2)
