Reduce_or_stop_humanitarian_assistance(X0,X1,T1) <- Threaten_to_reduce_or_stop_aid(X0,X1,T0)
Reduce_or_stop_humanitarian_assistance(X0,X1,T1) <- Obstruct_passage,_block(X0,X1,T0)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Protest_violently,_riot(X0,X1,T0), Make_pessimistic_comment(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X2,T2) <- Reduce_relations(X0,X1,T0), Impose_administrative_sanctions(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Demand_change_in_leadership(X0,X1,T0), Use_conventional_military_force(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), Reject(X1,X0,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Conduct_suicide,_car,_or_other_non-military_bombing(X0,X1,T0), Mobilize_or_increase_armed_forces(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- fight_with_artillery_and_tanks(X0,X1,T0), Violate_ceasefire(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Impose_blockade,_restrict_movement(X0,X1,T0), Confiscate_property(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Engage_in_mass_killings(X0,X1,T0), Torture(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Expel_or_deport_individuals(X0,X1,T0), Refuse_to_yield(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Seize_or_damage_property(X0,X1,T0), Threaten_with_military_force(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Demand_economic_aid(X0,X1,T0), Reject_request_for_military_aid(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Appeal_for_humanitarian_aid(X0,X1,T0), Refuse_to_release_persons_or_property(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Use_as_human_shield(X0,X1,T0), Increase_police_alert_status(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Ban_political_parties_or_politicians(X0,X1,T0), Impose_restrictions_on_political_freedoms(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Accuse_of_war_crimes(X0,X1,T0), Veto(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Host_a_visit(X0,X1,T0), Decline_comment(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Express_intent_to_provide_humanitarian_aid(X0,X1,T0), Halt_mediation(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Cooperate_militarily(X0,X1,T0), Reject_military_cooperation(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Impose_embargo,_boycott,_or_sanctions(X0,X1,T0), Reduce_or_stop_economic_assistance(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Consider_policy_option(X0,X1,T0), Make_statement(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Defy_norms,_law(X0,X1,T0), Investigate(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Carry_out_car_bombing(X0,X1,T0), Carry_out_roadside_bombing(X1,X2,T1)
Reduce_or_stop_humanitarian_assistance(X0,X1,T2) <- Threaten_with_sanctions,_boycott,_embargo(X0,X1,T0), Ease_economic_sanctions,_boycott,_embargo(X1,X2,T1)
