Reduce_or_stop_military_assistance(X0,X1,T1) <- Impose_embargo,_boycott,_or_sanctions(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Declare_truce,_ceasefire(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Sign_formal_agreement(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Engage_in_negotiation(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Provide_humanitarian_aid(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Reduce_or_stop_economic_assistance(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Make_pessimistic_comment(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Criticize_or_denounce(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Threaten_with_military_force(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Use_conventional_military_force(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Yield(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Accede_to_demands_for_change_in_policy(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Reduce_or_break_diplomatic_relations(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Reduce_relations(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Mobilize_or_increase_armed_forces(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Express_intent_to_cooperate_economically(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T1) <- Reduce_or_stop_military_assistance(X0,X1,T0)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Express_intent_to_cooperate_economically(X0,X1,T0), Impose_embargo,_boycott,_or_sanctions(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Engage_in_negotiation(X0,X1,T0), Declare_truce,_ceasefire(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Make_pessimistic_comment(X0,X1,T0), Reduce_relations(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Threaten_with_military_force(X0,X1,T0), Use_conventional_military_force(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Express_intent_to_cooperate_militarily(X0,X1,T0), Reject_military_cooperation(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Appeal_for_military_aid(X0,X1,T0), Refuse_to_yield(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Provide_military_aid(X0,X1,T0), Reduce_or_stop_military_assistance(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Express_intent_to_provide_military_aid(X0,X1,T0), Reduce_or_stop_military_assistance(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Make_a_visit(X0,X1,T0), Make_pessimistic_comment(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Host_a_visit(X0,X1,T0), Criticize_or_denounce(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Demand_de-escalation_of_military_engagement(X0,X1,T0), Refuse_to_de-escalate_military_engagement(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Express_intent_to_cooperate_economically(X0,X1,T0), Reduce_or_stop_economic_assistance(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Engage_in_diplomatic_cooperation(X0,X1,T0), Make_pessimistic_comment(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Sign_formal_agreement(X0,X1,T0), Reduce_or_stop_military_assistance(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Express_intent_to_accept_mediation(X0,X1,T0), Mediate(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Violate_ceasefire(X0,X1,T0), Halt_mediation(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- fight_with_artillery_and_tanks(X0,X1,T0), fight_with_small_arms_and_light_weapons(X0,X1,T1)
Reduce_or_stop_military_assistance(X0,X1,T2) <- Expel_or_withdraw_peacekeepers(X0,X1,T0), Reduce_or_stop_military_assistance(X0,X1,T1)
