_Demand(X0,X1,T1) <- Make_statement(X0,X1,T0)
_Demand(X0,X1,T1) <- Threaten(X0,X1,T0)
_Demand(X0,X1,T1) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0)
_Demand(X0,X1,T1) <- Use_conventional_military_force(X0,X1,T0)
_Demand(X0,X1,T1) <- Make_an_appeal_or_request(X0,X1,T0)
_Demand(X0,X1,T1) <- Accuse(X0,X1,T0)
_Demand(X0,X1,T1) <- Abduct,_hijack,_or_take_hostage(X0,X1,T0)
_Demand(X0,X1,T1) <- Protest_violently,_riot(X0,X1,T0)
_Demand(X0,X1,T1) <- Express_intent_to_meet_or_negotiate(X0,X1,T0)
_Demand(X0,X1,T1) <- Engage_in_diplomatic_cooperation(X0,X1,T0)
_Demand(X0,X1,T1) <- Provide_aid(X0,X1,T0)
_Demand(X0,X1,T1) <- Impose_embargo,_boycott,_or_sanctions(X0,X1,T0)
_Demand(X0,X1,T1) <- Give_ultimatum(X0,X1,T0)
_Demand(X0,X1,T1) <- Refuse_to_yield(X0,X1,T0)
_Demand(X0,X1,T1) <- Yield(X0,X1,T0)
_Demand(X0,X1,T2) <- Make_statement(X0,X1,T0), Consult(X1,X2,T1)
_Demand(X0,X1,T2) <- Use_unconventional_violence(X0,X1,T0), Make_statement(X1,X0,T1)
_Demand(X0,X1,T2) <- Make_an_appeal_or_request(X0,X1,T0), Engage_in_material_cooperation(X1,X0,T1)
_Demand(X0,X1,T2) <- Accuse(X0,X1,T0), Criticize_or_denounce(X1,X0,T1)
_Demand(X0,X1,T2) <- Mobilize_or_increase_armed_forces(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Make_a_visit(X0,X1,T0), Make_statement(X1,X0,T1)
_Demand(X0,X1,T2) <- Provide_humanitarian_aid(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Threaten(X0,X1,T0), Express_intent_to_cooperate(X1,X0,T1)
_Demand(X0,X1,T2) <- Reject(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1)
_Demand(X0,X1,T2) <- Sign_formal_agreement(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Torture(X0,X1,T0), Make_statement(X1,X0,T1)
_Demand(X0,X1,T2) <- Confiscate_property(X0,X1,T0), Return,_release_person(s)(X1,X0,T1)
_Demand(X0,X1,T2) <- Demobilize_armed_forces(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Mediate(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Investigate(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Praise_or_endorse(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Deny_responsibility(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Halt_negotiations(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Reduce_relations(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Express_accord(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Coerce(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Ban_political_parties_or_politicians(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Occupy_territory(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Expel_or_deport_individuals(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Veto(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Violate_ceasefire(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Receive_deployment_of_peacekeepers(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Share_intelligence_or_information(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Grant_asylum(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Declare_truce,_ceasefire(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Complain_officially(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Conduct_strike_or_boycott(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Defy_norms,_law(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Obstruct_passage,_block(X0,X1,T0), Demand(X1,X0,T1)
_Demand(X0,X1,T2) <- Rally_opposition_against(X0,X1,T0), Demand(X1,X0,T1)
