_Demonstrate_for_policy_change(X0,X2,T3) <- Demonstrate_for_policy_change(X0,X2,T2)
_Demonstrate_for_policy_change(X0,X2,T3) <- Demand_policy_change(X0,X2,T0), Refuse_to_yield(X2,X0,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Appeal_for_policy_change(X0,X2,T0), Reject(X2,X0,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Use_tactics_of_violent_repression(X2,X0,T0), Engage_in_political_dissent(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Arrest,_detain,_or_charge_with_legal_action(X2,X0,T0), Rally_opposition_against(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Accuse_of_human_rights_abuses(X0,X2,T0), Complain_officially(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Halt_negotiations(X2,X0,T0), Threaten_with_political_dissent,_protest(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Impose_embargo,_boycott,_or_sanctions(X2,X0,T0), Protest_violently,_riot(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Impose_restrictions_on_political_freedoms(X2,X0,T0), Conduct_strike_or_boycott(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Demonstrate_for_leadership_change(X0,X2,T0), Express_intent_to_change_policy(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Rally_support_on_behalf_of(X1,X0,T0), Demonstrate_for_policy_change(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Criticize_or_denounce(X0,X2,T0), Make_statement(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Express_intent_to_change_policy(X0,X2,T0), Consider_policy_option(X2,X0,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Give_ultimatum(X0,X2,T0), Refuse_to_yield(X2,X0,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Coerce(X2,X0,T0), Defy_norms,_law(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Kill_by_physical_assault(X2,X0,T0), Engage_in_violent_protest_for_rights(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Impose_state_of_emergency_or_martial_law(X2,X0,T0), Mobilize_or_increase_police_power(X2,X0,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Obstruct_passage,_block(X2,X0,T0), Occupy_territory(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Destroy_property(X2,X0,T0), Seize_or_damage_property(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Hijack,_or_take_hostage(X2,X0,T0), Demand_release_of_persons_or_property(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Attempt_to_assassinate(X2,X0,T0), Threaten_with_military_force(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Accuse_of_war_crimes(X0,X2,T0), Investigate_war_crimes(X2,X0,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Accuse_of_crime,_corruption(X0,X2,T0), Investigate_crime,_corruption(X2,X0,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Accuse_of_espionage,_treason(X0,X2,T0), Expel_or_deport_individuals(X2,X0,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Reduce_relations(X0,X2,T0), Threaten_to_reduce_or_break_relations(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Reduce_or_stop_economic_assistance(X2,X0,T0), Demand_economic_aid(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Reject_plan,_agreement_to_settle_dispute(X2,X0,T0), Violate_ceasefire(X2,X0,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Engage_in_symbolic_act(X0,X2,T0), Demonstrate_or_rally(X0,X2,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Conduct_hunger_strike(X0,X2,T0), Refuse_to_release_persons_or_property(X2,X0,T1)
_Demonstrate_for_policy_change(X0,X2,T3) <- Ban_political_parties_or_politicians(X2,X0,T0), Engage_in_political_dissent(X0,X2,T1)
