_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Make_an_appeal_or_request(X0,X1,T0), Provide_military_protection_or_peacekeeping(X1,X0,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Declare_truce,_ceasefire(X0,X1,T0), Sign_formal_agreement(X0,X1,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Use_conventional_military_force(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1), Provide_military_protection_or_peacekeeping(X2,X0,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Use_unconventional_violence(X0,X1,T0), Make_an_appeal_or_request(X0,X1,T1), Provide_military_protection_or_peacekeeping(X1,X0,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Engage_in_negotiation(X0,X1,T0), Express_intent_to_meet_or_negotiate(X1,X0,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Express_intent_to_provide_military_aid(X0,X1,T0), Provide_military_aid(X1,X0,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Host_a_visit(X0,X1,T0), Make_a_visit(X1,X0,T1), Sign_formal_agreement(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Consult(X0,X1,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Receive_deployment_of_peacekeepers(X0,X1,T0), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Share_intelligence_or_information(X0,X1,T0), Consult(X0,X1,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Engage_in_diplomatic_cooperation(X0,X1,T0), Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X1,X0,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Retreat_or_surrender_militarily(X0,X1,T0), Consult(X0,X1,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Make_statement(X0,X1,T0), Make_statement(X1,X0,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Express_intent_to_provide_military_protection_or_peacekeeping(X0,X1,T0), Provide_military_protection_or_peacekeeping(X0,X1,T1)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Provide_humanitarian_aid(X0,X1,T0), Consult(X0,X1,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Impose_blockade,_restrict_movement(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Mobilize_or_increase_armed_forces(X0,X1,T0), Consult(X0,X1,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Mediate(X0,X1,T0), Sign_formal_agreement(X0,X1,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0), Consult(X0,X1,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Accede_to_demands_for_rights(X0,X1,T0), Consult(X0,X1,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Refuse_to_yield(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Conduct_suicide,_car,_or_other_non-military_bombing(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Make_optimistic_comment(X0,X1,T0), Praise_or_endorse(X1,X2,T1), Provide_military_protection_or_peacekeeping(X0,X2,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Make_pessimistic_comment(X0,X1,T0), Make_pessimistic_comment(X1,X2,T1), Provide_military_protection_or_peacekeeping(X0,X2,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Express_intent_to_cooperate_militarily(X0,X1,T0), Provide_aid(X1,X2,T1), Make_an_appeal_or_request(X2,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Use_conventional_military_force(X0,X1,T0), Sign_formal_agreement(X1,X2,T1), Provide_military_protection_or_peacekeeping(X0,X2,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Use_unconventional_violence(X0,X1,T0), Use_conventional_military_force(X1,X2,T1), Provide_military_protection_or_peacekeeping(X0,X2,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Express_intent_to_meet_or_negotiate(X1,X0,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Deny_responsibility(X0,X1,T0), Make_statement(X1,X0,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Mobilize_or_increase_police_power(X0,X1,T0), Use_conventional_military_force(X1,X2,T1), Use_unconventional_violence(X2,X1,T2)
_Receive_deployment_of_peacekeepers(X0,X1,T3) <- Appeal_for_military_protection_or_peacekeeping(X0,X1,T0), Consult(X0,X1,T1), Provide_military_protection_or_peacekeeping(X0,X1,T2)
