_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Engage_in_diplomatic_cooperation(X0,X2,T0)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Express_intent_to_provide_economic_aid(X0,X2,T0)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Provide_military_protection_or_peacekeeping(X0,X1,T0), Engage_in_diplomatic_cooperation(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Host_a_visit(X0,X1,T0), Express_intent_to_meet_or_negotiate(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Appeal_to_others_to_settle_dispute(X0,X1,T0), Express_intent_to_cooperate(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Receive_deployment_of_peacekeepers(X0,X1,T0), Provide_economic_aid(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Criticize_or_denounce(X0,X1,T0), Express_intent_to_settle_dispute(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Threaten_with_military_force(X0,X1,T0), Refuse_to_yield(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Sign_formal_agreement(X0,X1,T0), Reduce_relations(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Mediate(X0,X1,T0), Express_intent_to_cooperate_militarily(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Impose_embargo,_boycott,_or_sanctions(X0,X1,T0), Ease_economic_sanctions,_boycott,_embargo(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Express_intent_to_provide_military_aid(X0,X1,T0), Reject_military_cooperation(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Make_an_appeal_or_request(X0,X1,T0), Reject_request_for_military_aid(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Consult(X0,X1,T0), Engage_in_judicial_cooperation(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Declare_truce,_ceasefire(X0,X1,T0), Violate_ceasefire(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Return,_release_property(X0,X1,T0), Express_intent_to_release_persons_or_property(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Accuse_of_war_crimes(X0,X1,T0), Demand_release_of_persons_or_property(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Grant_diplomatic_recognition(X0,X1,T0), Reduce_or_stop_economic_assistance(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Express_intent_to_cooperate_economically(X0,X1,T0), Reject_economic_cooperation(X1,X2,T1)
_Reject_request_for_military_protection_or_peacekeeping(X0,X2,T2) <- Mobilize_or_increase_armed_forces(X0,X1,T0), Use_conventional_military_force(X1,X2,T1)
