_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- Physically_assault(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- Use_unconventional_violence(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- Protest_violently,_riot(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Use_tactics_of_violent_repression(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Increase_military_alert_status(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Threaten_with_military_force(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Assassinate(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Kill_by_physical_assault(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- Sexually_assault(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Conduct_suicide,_car,_or_other_non-military_bombing(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Use_conventional_military_force(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- Demonstrate_or_rally(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Defy_norms,_law(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Criticize_or_denounce(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Accuse(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Demand(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Make_an_appeal_or_request(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Investigate(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T1) <- _Reduce_relations(X0,X1,T0).
_fight_with_small_arms_and_light_weapons(X0,X1,T2) <- _Increase_military_alert_status(X0,X1,T0), _Threaten_with_military_force(X1,X0,T1).
_fight_with_small_arms_and_light_weapons(X0,X1,T2) <- _Criticize_or_denounce(X0,X1,T0), _Accuse(X1,X0,T1).
_fight_with_small_arms_and_light_weapons(X0,X1,T2) <- _Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), _Physically_assault(X1,X0,T1).
_fight_with_small_arms_and_light_weapons(X0,X1,T2) <- _Use_unconventional_violence(X0,X1,T0), _Use_conventional_military_force(X1,X0,T1).
_fight_with_small_arms_and_light_weapons(X0,X1,T2) <- _Protest_violently,_riot(X0,X1,T0), _Use_tactics_of_violent_repression(X1,X0,T1).
_fight_with_small_arms_and_light_weapons(X0,X1,T2) <- _Make_an_appeal_or_request(X0,X1,T0), Reject(X1,X0,T1).
_fight_with_small_arms_and_light_weapons(X0,X1,T2) <- _Express_intent_to_cooperate(X0,X1,T0), _Refuse_to_yield(X1,X0,T1).
_fight_with_small_arms_and_light_weapons(X0,X1,T2) <- _Threaten_with_military_force(X0,X1,T0), _Mobilize_or_increase_armed_forces(X1,X0,T1).
_fight_with_small_arms_and_light_weapons(X0,X1,T2) <- _Impose_administrative_sanctions(X0,X1,T0), _Reduce_relations(X1,X0,T1).
_fight_with_small_arms_and_light_weapons(X0,X1,T2) <- _Expel_or_deport_individuals(X0,X1,T0), _Threaten_with_sanctions,_boycott,_embargo(X1,X0,T1).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Increase_military_alert_status(X0,X1,T0), _Threaten_with_military_force(X1,X0,T1), _Use_conventional_military_force(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Criticize_or_denounce(X0,X1,T0), _Accuse(X1,X0,T1), _Physically_assault(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), _Protest_violently,_riot(X1,X0,T1), _Use_tactics_of_violent_repression(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Make_an_appeal_or_request(X0,X1,T0), _Reject(X1,X0,T1), _Threaten_with_military_force(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Express_intent_to_cooperate(X0,X1,T0), _Refuse_to_yield(X1,X0,T1), _Mobilize_or_increase_armed_forces(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Threaten_with_military_force(X0,X1,T0), _Mobilize_or_increase_armed_forces(X1,X0,T1), _Use_conventional_military_force(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Impose_administrative_sanctions(X0,X1,T0), _Reduce_relations(X1,X0,T1), _Expel_or_deport_individuals(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Expel_or_deport_individuals(X0,X1,T0), _Threaten_with_sanctions,_boycott,_embargo(X1,X0,T1), _Impose_embargo,_boycott,_or_sanctions(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Use_unconventional_violence(X0,X1,T0), _Use_conventional_military_force(X1,X0,T1), fight_with_small_arms_and_light_weapons(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Protest_violently,_riot(X0,X1,T0), _Use_tactics_of_violent_repression(X1,X0,T1), _Physically_assault(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Make_an_appeal_or_request(X0,X1,T0), _Reject(X1,X0,T1), _Arrest,_detain,_or_charge_with_legal_action(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Express_intent_to_cooperate(X0,X1,T0), _Refuse_to_yield(X1,X0,T1), _Threaten_with_military_force(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Threaten_with_military_force(X0,X1,T0), _Mobilize_or_increase_armed_forces(X1,X0,T1), _Increase_military_alert_status(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Impose_administrative_sanctions(X0,X1,T0), _Reduce_relations(X1,X0,T1), _Threaten_with_sanctions,_boycott,_embargo(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Expel_or_deport_individuals(X0,X1,T0), _Threaten_with_sanctions,_boycott,_embargo(X1,X0,T1), _Impose_embargo,_boycott,_or_sanctions(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Use_unconventional_violence(X0,X1,T0), _Use_conventional_military_force(X1,X0,T1), _Assassinate(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Protest_violently,_riot(X0,X1,T0), _Use_tactics_of_violent_repression(X1,X0,T1), _Kill_by_physical_assault(X0,X1,T2).
_fight_with_small_arms_and_light_weapons(X0,X1,T3) <- _Make_an_appeal_or_request(X0,X1,T0), _Reject(X1,X0,T1), _Threaten_with_military_force(X0,X1,T2).
